Description,Pathway.geneSymbol,Overlapping.geneSymbol,Overlapping.geneID,Count,GeneRatio,pvalue,p.adjust
TOLL-LIKE_RECEPTOR_SIGNALING_PATHWAY,TLR1/TLR2/TLR6/LBP/CD14/LY96/TLR3/TLR4/TLR5/TLR7/TLR8/CTSK/TLR9/RAC1/PIK3CA/PIK3CD/PIK3CB/PIK3CG/PIK3R1/PIK3R5/PIK3R2/PIK3R3/AKT1/AKT2/AKT3/TOLLIP/MYD88/TIRAP/FADD/CASP8/IRAK4/IRAK1/TRAF6/TAB1/TAB2/MAP3K7/IKBKG/CHUK/IKBKB/NFKBIA/NFKB1/RELA/MAP3K8/MAP2K1/MAP2K2/MAPK1/MAPK3/MAP2K3/MAP2K6/MAP2K4/MAP2K7/MAPK11/MAPK12/MAPK13/MAPK14/MAPK8/MAPK10/MAPK9/JUN/FOS/TNF/IL1B/IL6/IL12A/IL12B/CXCL8/CCL5/CCL3/CCL3L1/CCL3L3/CCL4/CCL4L2/CCL4L1/TICAM2/TICAM1/RIPK1/IRF5/IRF7/SPP1/IKBKE/TBK1/TRAF3/IRF3/CD40/CD80/CD86/IFNA1/IFNA2/IFNA4/IFNA5/IFNA6/IFNA7/IFNA8/IFNA10/IFNA13/IFNA14/IFNA16/IFNA17/IFNA21/IFNB1/IFNAR1/IFNAR2/STAT1/CXCL10/CXCL9/CXCL11,PIK3R1/MYD88/NFKBIA/CCL5/TICAM1/IRF7/STAT1,5295/4615/4792/6352/148022/3665/6772,7,7/772,6.28E-05,0.002826396
MAPK_SIGNALING_PATHWAY,CACNA1A/CACNA1B/CACNA1C/CACNA1D/CACNA1E/CACNA1F/CACNA1G/CACNA1H/CACNA1I/CACNA1S/CACNA2D1/CACNA2D2/CACNA2D3/CACNA2D4/CACNB1/CACNB2/CACNB3/CACNB4/CACNG1/CACNG2/CACNG3/CACNG4/CACNG5/CACNG6/CACNG7/CACNG8/PRKACA/PRKACB/PRKACG/PRKX/PRKCA/PRKCB/PRKCG/GNA12/GNG12/protein)/PPP3CA/PPP3CB/PPP3CC/PPP3R1/PPP3R2/RASGRF1/RASGRF2/RASGRP1/RASGRP2/RASGRP3/RASGRP4/RAPGEF2/NF1/RASA1/RASA2/RAP1A/RAP1B/NGF/BDNF/NTF3/NTF4/EGF/FGF1/FGF2/FGF3/FGF4/FGF17/FGF6/FGF7/FGF8/FGF9/FGF10/FGF11/FGF12/FGF13/FGF14/FGF16/FGF5/FGF18/FGF19/FGF20/FGF21/FGF22/FGF23/PDGFA/PDGFB/NTRK1/NTRK2/EGFR/FGFR1/FGFR2/FGFR3/FGFR4/PDGFRA/PDGFRB/GRB2/SOS1/SOS2/HRAS/KRAS/NRAS/RRAS/RRAS2/MRAS/BRAF/RAF1/MOS/MAP2K1/MAP2K2/LAMTOR3/MAPK1/MAPK3/MKNK1/MKNK2/RPS6KA3/RPS6KA1/RPS6KA2/RPS6KA6/ATF4/ELK1/ELK4/MYC/SRF/FOS/MAPT/STMN1/PLA2G4E/PLA2G4A/JMJD7-PLA2G4B/PLA2G4B/PLA2G4C/PLA2G4D/PLA2G4F/TNF/IL1A/IL1B/TGFB1/TGFB2/TGFB3/TNFRSF1A/IL1R1/IL1R2/TGFBR1/TGFBR2/FASLG/FAS/CD14/RAC1/RAC2/RAC3/CDC42/CASP3/TRAF2/DAXX/TRAF6/GADD45A/GADD45B/GADD45G/TAB1/TAB2/ECSIT/MAP4K3/MAP4K4/MAP4K1/PAK1/PAK2/STK4/STK3/MAP4K2/MAP3K8/MAP3K1/MAP3K11/MAP3K2/MAP3K3/MAP3K13/MAP3K12/ZAK/MAP3K6/MAP3K5/MAP3K7/MAP3K4/TAOK2/TAOK3/TAOK1/MAP2K4/MAP2K7/MAP2K3/MAP2K6/MAPK8IP1/MAPK8IP2/MAPK8IP3/FLNA/FLNC/FLNB/CRK/CRKL/ARRB1/ARRB2/MAPK8/MAPK10/MAPK9/MAPK11/MAPK12/MAPK13/MAPK14/MAPKAPK5/MAPKAPK2/MAPKAPK3/RPS6KA5/RPS6KA4/CDC25B/NFATC1/NFATC3/JUN/JUND/ATF2/TP53/DDIT3/MAX/MEF2C/HSPB1/AKT1/AKT2/AKT3/PPM1A/PTPRR/PTPN5/PTPN7/DUSP1/DUSP4/DUSP2/DUSP7/DUSP8/DUSP5/DUSP6/DUSP10/DUSP16/DUSP9/DUSP3/PPP5C/PPP5D1/PPM1B/HSPA8/HSPA1A/HSPA2/HSPA1L/HSPA1B/HSPA6/MECOM/MAP2K5/MAPK7/NR4A1/MAP3K14/CHUK/IKBKB/IKBKG/NLK/NFKB1/NFKB2/RELA/RELB,GNA12/PPP3CB/FGFR3/RPS6KA2/TGFB2/TGFBR2/RAC2/GADD45B/MAP3K1/HSPB1/MECOM,2768/5532/2261/6196/7042/7048/5880/4616/4214/3315/2122,11,11/772,0.000120394,0.005417739
VEGF_SIGNALING_PATHWAY,VEGFA/KDR/SH2D2A/PLCG1/PLCG2/PRKCA/PRKCB/PRKCG/SPHK1/SPHK2/HRAS/KRAS/NRAS/RAF1/MAP2K1/MAP2K2/MAPK1/MAPK3/PLA2G4E/PLA2G4A/JMJD7-PLA2G4B/PLA2G4B/PLA2G4C/PLA2G4D/PLA2G4F/PPP3CA/PPP3CB/PPP3CC/PPP3R1/PPP3R2/NFATC2/PTGS2/PTK2/SHC2/PXN/CDC42/MAPK11/MAPK12/MAPK13/MAPK14/MAPKAPK2/MAPKAPK3/HSPB1/SRC/PIK3CA/PIK3CD/PIK3CB/PIK3CG/PIK3R1/PIK3R5/PIK3R2/PIK3R3/RAC1/RAC2/RAC3/AKT1/AKT2/AKT3/NOS3/CASP9/BAD,PPP3CB/HSPB1/PIK3R1/RAC2/NOS3,5532/3315/5295/5880/4846,5,5/772,0.000121494,0.005467222
SPHINGOLIPID_SIGNALING_PATHWAY,SPTLC1/SPTLC2/SPTLC3/CERS2/CERS3/CERS6/CERS1/CERS4/CERS5/DEGS1/DEGS2/SMPD1/SGMS1/SGMS2/TNF/TNFRSF1A/NSMAF/SMPD2/ASAH1/ASAH2/ACER2/ACER1/TRADD/TRAF2/CTSD/BID/BAX/MAP3K5/MAPK8/MAPK10/MAPK9/MAPK11/MAPK12/MAPK13/MAPK14/PRKCZ/AKT1/AKT2/AKT3/BCL2/PPP2CA/PPP2CB/PPP2R1B/PPP2R1A/PPP2R2A/PPP2R2B/PPP2R2C/PPP2R2D/PPP2R3B/PPP2R3C/PPP2R3A/PPP2R5B/PPP2R5C/PPP2R5D/PPP2R5E/PPP2R5A/TP53/FCER1A/MS4A2/FCER1G/FYN/GAB2/PIK3CA/PIK3CD/PIK3CB/PIK3CG/PIK3R1/PIK3R5/PIK3R2/PIK3R3/PLD1/PLD2/SPHK1/SPHK2/ADORA1/ADORA3/BDKRB2/OPRD1/GNAI1/GNAI3/GNAI2/PLCB1/PLCB2/PLCB3/PLCB4/PRKCE/MAPK1/MAPK3/SGPP1/SGPP2/ABCC1/SGPL1/S1PR1/S1PR2/HRAS/KRAS/NRAS/RAF1/MAP2K1/MAP2K2/PDPK1/NOS3/RAC1/RAC2/RAC3/S1PR3/GNAQ/PRKCA/PRKCB/PRKCG/S1PR4/S1PR5/GNA12/GNA13/RHOA/ROCK1/ROCK2/PTEN/NFKB1/RELA,SPTLC3/PRKCZ/PIK3R1/SGPP2/NOS3/RAC2/GNA12,55304/5590/5295/130367/4846/5880/2768,7,7/772,0.000150036,0.006751628
P53_SIGNALING_PATHWAY,ATM/CHEK2/ATR/CHEK1/CDKN2A/MDM2/MDM4/TP53/CDKN1A/CCND1/CCND2/CCND3/CDK4/CDK6/CCNE1/CCNE2/CDK2/SFN/RPRM/CCNB1/CCNB2/CCNB3/CDK1/GADD45A/GADD45B/GADD45G/GTSE1/FAS/PIDD1/CASP8/BID/BAX/PMAIP1/BBC3/TP53AIP1/TP53I3/EI24/SHISA5/PERP/ZMAT3/SIAH1/CYCS/APAF1/CASP9/CASP3/IGFBP3/IGF1/SERPINE1/BAI1/CD82/THBS1/SERPINB5/DDB2/RRM2B/RRM2/SESN1/SESN2/SESN3/PTEN/TSC2/STEAP3/RFWD2/RCHY1/CCNG1/CCNG2/PPM1D/TP73/TNFRSF10B,CDK6/GADD45B/IGFBP3/SERPINE1/THBS1,1021/4616/3486/5054/7057,5,5/772,0.000222299,0.010003464
PROLACTIN_SIGNALING_PATHWAY,PRL/PRLR/JAK2/SHC1/SHC2/SHC3/SHC4/SRC/PIK3CA/PIK3CD/PIK3CB/PIK3CG/PIK3R1/PIK3R5/PIK3R2/PIK3R3/AKT1/AKT2/AKT3/FOXO3/GALT/GRB2/SOS1/SOS2/HRAS/KRAS/NRAS/RAF1/MAP2K1/MAP2K2/MAPK1/MAPK3/FOS/MAPK8/MAPK10/MAPK9/MAPK11/MAPK12/MAPK13/MAPK14/CCND1/GSK3B/CISH/SOCS1/SOCS2/SOCS3/SOCS4/SOCS5/SOCS6/SOCS7/STAT1/STAT3/STAT5A/STAT5B/TNFSF11/TNFRSF11A/NFKB1/RELA/ELF5/CSN2/CGA/LHB/LHCGR/CYP17A1/ESR1/ESR2/IRF1/TH/SLC2A2/GCK/CCND2/INS,PRLR/PIK3R1/STAT1/CGA/IRF1,5618/5295/6772/1081/3659,5,5/772,0.000304113,0.013685091
SIGNALING_PATHWAYS_REGULATING_PLURIPOTENCY_OF_STEM_CELLS,LIF/LIFR/IL6ST/JAK1/JAK2/JAK3/STAT3/KLF4/SOX2/MYC/GRB2/MAP2K1/MAP2K2/MAPK1/MAPK3/PIK3CA/PIK3CD/PIK3CB/PIK3CG/PIK3R1/PIK3R5/PIK3R2/PIK3R3/AKT1/AKT2/AKT3/TBX3/NANOG/INHBA/INHBB/INHBC/INHBE/NODAL/ACVR1B/ACVR1C/ACVR2A/ACVR2B/SMAD2/SMAD3/BMP2/BMP4/BMPR1A/BMPR1B/ACVR1/BMPR2/SMAD1/SMAD5/SMAD9/SMAD4/ID1/ID2/ID3/ID4/DUSP9/MAPK11/MAPK12/MAPK13/MAPK14/WNT1/WNT2/WNT2B/WNT3/WNT3A/WNT4/WNT5A/WNT5B/WNT6/WNT7A/WNT7B/WNT8A/WNT8B/WNT9A/WNT9B/WNT10B/WNT10A/WNT11/WNT16/FZD1/FZD7/FZD2/FZD3/FZD4/FZD5/FZD8/FZD6/FZD10/FZD9/DVL3/DVL2/DVL1/GSK3B/AXIN1/AXIN2/APC/APC2/CTNNB1/TCF3/ESRRB/HNF1A/POU5F1/POU5F1B/FGF2/FGFR1/FGFR2/FGFR3/FGFR4/HRAS/KRAS/NRAS/RAF1/IGF1/IGF1R/HESX1/ZIC3/SKIL/SMARCAD1/KAT6A/SETDB1/JARID2/REST/RIF1/PCGF1/PCGF2/PCGF3/BMI1/COMMD3-BMI1/PCGF5/PCGF6/PAX6/MEIS1/LHX5/OTX1/NEUROG1/HAND1/DLX5/MYF5/ONECUT1/ISL1/ZFHX3/ESX1/HOXB1/LEFTY2,JAK1/PIK3R1/ID4/WNT4/WNT5A/FZD6/FGFR3,3716/5295/3400/54361/7474/8323/2261,7,7/772,0.000470609,0.021177385
HEDGEHOG_SIGNALING_PATHWAY,SHH/IHH/DHH/PTCH1/PTCH2/SMO/STK36/SUFU/GLI1/GLI2/GLI3/WNT1/WNT2/WNT2B/WNT3/WNT3A/WNT4/WNT5A/WNT5B/WNT6/WNT7A/WNT7B/WNT8A/WNT8B/WNT9A/WNT9B/WNT10B/WNT10A/WNT11/WNT16/BMP2/BMP4/HHIP/GAS1/LRP2/RAB23/PRKACA/PRKACB/PRKACG/PRKX/GSK3B/CSNK1A1L/CSNK1A1/CSNK1G2/CSNK1G3/CSNK1G1/CSNK1D/CSNK1E/readthrough/BTRC/FBXW11/ZIC2,WNT4/WNT5A/FBXW11/ZIC2,54361/7474/23291/7546,4,4/772,0.000501391,0.022562581
NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,NOD1/NOD2/TRIP6/RIPK2/TRAF6/IKBKG/CHUK/IKBKB/NFKBIB/NFKBIA/NFKB1/RELA/CXCL8/CCL2/CCL5/TNF/IL6/MAP3K7/TAB1/TAB2/TAB3/MAPK1/MAPK3/MAPK8/MAPK10/MAPK9/MAPK11/MAPK12/MAPK13/MAPK14/CARD9/CASP8/SUGT1/ERBB2IP/CARD6/BIRC2/BIRC3/TNFAIP3/NLRP1/PYCARD/CASP1/CASP5/NLRP3/CARD8/PYDC1/MEFV/PSTPIP1/HSP90AA1/HSP90AB1/HSP90B1/NLRC4/CARD18/NAIP/IL1B/IL18/CXCL1/CXCL2,TRIP6/RIPK2/NFKBIA/CCL5,7205/8767/4792/6352,4,4/772,0.000767076,0.034518405
JAK-STAT_SIGNALING_PATHWAY,THPO/EPO/GH1/GH2/CSH1/CSH2/PRL/IFNG/IFNA1/IFNA2/IFNA4/IFNA5/IFNA6/IFNA7/IFNA8/IFNA10/IFNA13/IFNA14/IFNA16/IFNA17/IFNA21/IFNB1/IFNW1/IFNK/IFNE/IL10/IL19/IL20/IL24/IL22/IL26/IFNL2/IFNL3/IFNL1/IL3/CSF2/IL5/IL2/IL4/IL7/IL9/IL15/IL21/IL13/TSLP/IL6/IL12A/IL11/OSM/LIF/CNTF/CLCF1/CTF1/CSF3/LEP/IL12B/IL23A/IL3RA/CSF2RB/IL6R/IL11RA/OSMR/LIFR/CNTFR/IL6ST/CSF3R/LEPR/IL12RB1/IL12RB2/IL23R/CSF2RA/IL5RA/IL2RA/IL2RB/IL2RG/IL4R/IL7R/IL9R/IL15RA/IL21R/IL13RA1/IL13RA2/CRLF2/EPOR/GHR/PRLR/MPL/IFNAR1/IFNAR2/IFNGR1/IFNGR2/IL10RA/IL10RB/IL20RA/IL20RB/IL22RA1/IL22RA2/IFNLR1/JAK1/JAK2/JAK3/TYK2/STAT1/STAT2/STAT3/STAT4/STAT5A/STAT5B/STAT6/IRF9/CREBBP/EP300/SOCS1/SOCS2/SOCS3/SOCS4/SOCS5/SOCS7/CISH/PIM1/MYC/CCND1/CCND2/CCND3/BCL2L1/SPRED1/SPRED2/SPRED3/SPRY1/SPRY2/SPRY4/STAM2/STAM/PIAS1/PIAS2/PIAS3/PIAS4/CBLC/CBL/CBLB/PTPN11/GRB2/SOS1/SOS2/PIK3CA/PIK3CD/PIK3CB/PIK3CG/PIK3R1/PIK3R5/PIK3R2/PIK3R3/AKT1/AKT2/AKT3/PTPN6,PRLR/JAK1/STAT1/CREBBP/SPRED1/CBLB/PIK3R1,5618/3716/6772/1387/161742/868/5295,7,7/772,0.000872697,0.039271344
