GSK3B,PAK4
GSK3B,MAPK10
GSK3B,PIK3CB
CDKN1B,ERBB2
CDKN1B,PAK5
CDKN1B,NRG1
CDKN1B,NRG2
CDKN1A,ABL1
CDKN1A,ARAF
CDKN1A,MAP2K2
CDKN1A,AKT1

